feature_set,model,mean_accuracy,min_accuracy,mean_macro_f1,min_macro_f1
enhanced,XGBoost,0.9865384615384616,0.9623931623931624,0.9887722242275461,0.9686068853509897
enhanced,Random Forest,0.9863247863247864,0.9658119658119658,0.9881306747189006,0.9717535384354606
baseline,Random Forest,0.9547008547008546,0.8854700854700854,0.9614617643804085,0.9008407589957428
baseline,XGBoost,0.9638888888888889,0.8854700854700854,0.959067768521915,0.861847976414448
enhanced,Logistic Regression,0.8756410256410256,0.5367521367521367,0.873702116476686,0.5233695405879535
baseline,Logistic Regression,0.7149572649572649,0.335042735042735,0.725369653698767,0.3553755002813317
