model,feature_set,test_load,n_train_windows,n_test_windows,n_features,accuracy,macro_f1,split_type
Logistic Regression,baseline,3,3510,1170,11,0.7521367521367521,0.7387053853401948,train_012_test_3
Random Forest,baseline,3,3510,1170,11,0.9435897435897436,0.9535534771302823,train_012_test_3
XGBoost,baseline,3,3510,1170,11,0.9777777777777777,0.9808334450161627,train_012_test_3
Logistic Regression,enhanced,3,3510,1170,17,0.9854700854700855,0.9878955344850557,train_012_test_3
Random Forest,enhanced,3,3510,1170,17,0.9658119658119658,0.9717535384354606,train_012_test_3
XGBoost,enhanced,3,3510,1170,17,0.9897435897435898,0.9914760939981714,train_012_test_3
